Date,Dish Name,Cooking time(min),Utensils Used 
24/5/25,Banana Milkshake,5,"Blender, Glass"
24/5/25,Spanish Omelette,15,"Pan, Spatula"
24/5/25,Poha,20,"Pan, Spatula"
24/5/25,Bhindi Sabji/Okra stir-fry,25,"Pan, Spatula"
24/5/25,Musoor dal,30,"Pressure Cooker, Ladle"
24/5/25,Roti,10,"Tawa, Rolling Pin"
24/5/25,Lemonade,5,"Jug, Spoon"
24/5/25,Chocalate Pancakes,20,"Pan, Spatula"
24/5/25,Makhana/Fox Nuts,10,"Pan, Spatula"
24/5/25,Aloo matar sabji,25,"Pan, Spatula"
24/5/25,Aamras/ Mango Yogurt,10,"Blender, Bowl"
25/5/25,Boiled Eggs,10,Saucepan
25/5/25,Chikoo shake,5,"Blender, Glass"
25/5/25,Upma,20,"Pan, Spatula"
25/5/25,Lauki ki sabzi,25,"Pan, Spatula"
25/5/25,Paratha,15,"Tawa, Rolling Pin"
25/5/25,Boiled Sweet Potato,20,Saucepan
25/5/25,Karhi,30,"Pan, Ladle"
25/5/25,Rice,20,Saucepan
26/5/25,Sevaiya,15,"Pan, Spatula"
26/5/25,Pulao,30,"Pan, Spatula"
26/5/25,Raita,10,"Bowl, Spoon"
26/5/25,Idli,20,Idli Steamer
26/5/25,Sambar,30,"Pressure Cooker, Ladle"
27/5/25,Half Fry egg,5,"Pan, Spatula"
27/5/25,Toast,5,Toaster
27/5/25,Cold Milk,1,Glass
27/5/25,Palak Paneer Sabji,25,"Pan, Spatula"
27/5/25,Jowar Roti,15,"Tawa, Rolling Pin"
27/5/25,Maggi,10,Saucepan
27/5/25,Burger,20,"Pan, Spatula"
27/5/25,Soda Lime,1,Glass
